year,avg_metascore,avg_user_score
1970,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,5.800000190734863
1989,,5.0
1990,,7.50000015894572
1991,,7.450000047683716
1992,,7.175000071525574
1993,,7.524999976158142
1994,83.0,6.863636406985196
1995,90.0,7.117948715503399
1996,87.73684210526316,6.86889765065486
1997,84.19354838709677,7.995238088426136
1998,82.79166666666667,7.976428614343916
1999,82.95652173913044,8.061643870317774
2000,69.40554156171285,7.27031702404407
2001,69.02661596958175,7.201452788082797
2002,67.95005945303211,7.127461167300098
2003,68.74968233799238,7.143972845959946
2004,68.30985915492958,7.085940615611501
2005,68.73871409028727,7.187964619155479
2006,66.09126984126983,7.017225634034087
2007,64.00127877237851,6.731863451207515
2008,64.59766081871345,6.659806650914046
2009,67.8864118895966,6.757313127458935
2010,68.46986721144025,6.8316123258808386
2011,67.87833827893175,6.6571312930247775
2012,69.49228611500702,6.767204871331647
2013,69.58078141499472,6.547494405895895
2014,69.87015503875969,6.5279197259704125
2015,70.31111111111112,6.606068612497526
2016,70.38670694864048,6.508070378061779
2017,71.36637931034483,6.632559374265746
2018,70.87832446808511,6.554187704663344
2019,71.21132897603486,6.561273499732226
2020,70.98368456832087,6.65893472454597
2021,72.28276877761414,6.740752564928475
2022,73.64981949458483,6.589527052059467
2023,74.46448598130841,6.719835579334036
2024,,
