year,user_reviews,critic_reviews
1970,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,6,
1989,4,
1990,29,
1991,30,
1992,249,
1993,89,
1994,629,5
1995,1377,13
1996,10303,172
1997,11812,337
1998,30314,623
1999,13421,689
2000,22940,5284
2001,28645,7272
2002,35891,12576
2003,41020,15017
2004,45251,16159
2005,35961,18325
2006,40302,17213
2007,53576,16633
2008,51354,18796
2009,80353,22137
2010,135137,23759
2011,210817,24157
2012,173262,14753
2013,292812,19314
2014,292284,19953
2015,326768,21786
2016,254354,24001
2017,248957,24018
2018,211738,24117
2019,247475,23636
2020,417622,23847
2021,133800,22402
2022,134406,19137
2023,168713,19715
2024,,3
